CMS Certification Number,Facility Name,City,State,System Affiliation,Type of Facility,Key
010034,Community Hospital,Tallassee,AL,"Not In Any System - ,",Short Term Acute Care,010034_Community Hospital
010035,Cullman Regional Medical Center,Cullman,AL,"Not In Any System - ,",Short Term Acute Care,010035_Cullman Regional Medical Center
010036,Andalusia Health,Andalusia,AL,"LifePoint Health - Brentwood, TN",Short Term Acute Care,010036_Andalusia Health
010038,RMC Stringfellow Memorial Hospital,Anniston,AL,"Regional Medical Center Health System - Anniston, AL",Short Term Acute Care,010038_RMC Stringfellow Memorial Hospital
010039,Huntsville Hospital,Huntsville,AL,"Huntsville Hospital Health System - Huntsville, AL",Short Term Acute Care,010039_Huntsville Hospital
010040,Gadsden Regional Medical Center,Gadsden,AL,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,010040_Gadsden Regional Medical Center
010044,North Mississippi Medical Center - Hamilton,Hamilton,AL,"North Mississippi Health Services - Tupelo, MS",Short Term Acute Care,010044_North Mississippi Medical Center - Hamilton
010045,Fayette Medical Center,Fayette,AL,"DCH Health System - Tuscaloosa, AL",Short Term Acute Care,010045_Fayette Medical Center
010046,Riverview Regional Medical Center,Gadsden,AL,"Prime Healthcare Services, Inc. - Ontario, CA",Short Term Acute Care,010046_Riverview Regional Medical Center
010049,Medical Center Enterprise,Enterprise,AL,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,010049_Medical Center Enterprise
010051,Greene County Health System,Eutaw,AL,"Not In Any System - ,",Short Term Acute Care,010051_Greene County Health System
010052,Lake Martin Community Hospital,Dadeville,AL,"Ivy Creek Healthcare - Wetumpka, AL",Short Term Acute Care,010052_Lake Martin Community Hospital
010054,Decatur Morgan Hospital-Parkway Campus,Decatur,AL,"Huntsville Hospital Health System - Huntsville, AL",Short Term Acute Care,010054_Decatur Morgan Hospital-Parkway Campus
010055,Flowers Hospital,Dothan,AL,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,010055_Flowers Hospital
010056,Ascension Saint Vincent's Birmingham,Birmingham,AL,"Ascension Health - Saint Louis, MO",Short Term Acute Care,010056_Ascension Saint Vincent's Birmingham
010058,Bibb Medical Center,Centreville,AL,"Not In Any System - ,",Short Term Acute Care,010058_Bibb Medical Center
010059,Lawrence Medical Center,Moulton,AL,"Not In Any System - ,",Short Term Acute Care,010059_Lawrence Medical Center
010061,Highlands Medical Center,Scottsboro,AL,"Huntsville Hospital Health System - Huntsville, AL",Short Term Acute Care,010061_Highlands Medical Center
010062,Wiregrass Medical Center,Geneva,AL,"Not In Any System - ,",Short Term Acute Care,010062_Wiregrass Medical Center
010065,Russell Medical Center,Alexander City,AL,"Not In Any System - ,",Short Term Acute Care,010065_Russell Medical Center
010069,Medical Center Barbour,Eufaula,AL,"Not In Any System - ,",Short Term Acute Care,010069_Medical Center Barbour
010073,Clay County Hospital,Ashland,AL,"Not In Any System - ,",Short Term Acute Care,010073_Clay County Hospital
010078,RMC Anniston,Anniston,AL,"Regional Medical Center Health System - Anniston, AL",Short Term Acute Care,010078_RMC Anniston
010079,Athens-Limestone Hospital,Athens,AL,"Not In Any System - ,",Short Term Acute Care,010079_Athens-Limestone Hospital
010083,South Baldwin Regional Medical Center,Foley,AL,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,010083_South Baldwin Regional Medical Center
010085,Decatur Morgan Hospital,Decatur,AL,"Huntsville Hospital Health System - Huntsville, AL",Short Term Acute Care,010085_Decatur Morgan Hospital
010086,Northwest Medical Center,Winfield,AL,"Curae Health - Clinton, TN",Short Term Acute Care,010086_Northwest Medical Center
010087,USA Health University Hospital,Mobile,AL,"University of South Alabama Health System - Mobile, AL",Short Term Acute Care,010087_USA Health University Hospital
010089,Walker Baptist Medical Center,Jasper,AL,"Brookwood Baptist Health - Birmingham, AL",Short Term Acute Care,010089_Walker Baptist Medical Center
010090,Providence Hospital,Mobile,AL,"Ascension Health - Saint Louis, MO",Short Term Acute Care,010090_Providence Hospital
010091,Grove Hill Memorial Hospital,Grove Hill,AL,"Not In Any System - ,",Short Term Acute Care,010091_Grove Hill Memorial Hospital
010092,DCH Regional Medical Center,Tuscaloosa,AL,"DCH Health System - Tuscaloosa, AL",Short Term Acute Care,010092_DCH Regional Medical Center
010095,Hale County Hospital,Greensboro,AL,"Not In Any System - ,",Short Term Acute Care,010095_Hale County Hospital
010097,Elmore Community Hospital,Wetumpka,AL,"Ivy Creek Healthcare - Wetumpka, AL",Short Term Acute Care,010097_Elmore Community Hospital
010099,D.W. McMillan Memorial Hospital,Brewton,AL,"Not In Any System - ,",Short Term Acute Care,010099_D.W. McMillan Memorial Hospital
010100,Thomas Hospital,Fairhope,AL,"Infirmary Health System - Mobile, AL",Short Term Acute Care,010100_Thomas Hospital
010101,Citizens Baptist Medical Center,Talladega,AL,"Brookwood Baptist Health - Birmingham, AL",Short Term Acute Care,010101_Citizens Baptist Medical Center
010102,John Paul Jones Hospital,Camden,AL,"Not In Any System - ,",Short Term Acute Care,010102_John Paul Jones Hospital
010103,Princeton Baptist Medical Center,Birmingham,AL,"Brookwood Baptist Health - Birmingham, AL",Short Term Acute Care,010103_Princeton Baptist Medical Center
010104,Grandview Medical Center,Birmingham,AL,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,010104_Grandview Medical Center
010108,Prattville Baptist Hospital,Prattville,AL,"Baptist Health - Montgomery, AL",Short Term Acute Care,010108_Prattville Baptist Hospital
010110,Bullock County Hospital,Union Springs,AL,"Not In Any System - ,",Short Term Acute Care,010110_Bullock County Hospital
010112,Bryan W. Whitfield Memorial Hospital,Demopolis,AL,"Not In Any System - ,",Short Term Acute Care,010112_Bryan W. Whitfield Memorial Hospital
010113,Mobile Infirmary Medical Center,Mobile,AL,"Infirmary Health System - Mobile, AL",Short Term Acute Care,010113_Mobile Infirmary Medical Center
010114,Medical West,Bessemer,AL,"Not In Any System - ,",Short Term Acute Care,010114_Medical West
010118,Vaughan Regional Medical Center,Selma,AL,"LifePoint Health - Brentwood, TN",Short Term Acute Care,010118_Vaughan Regional Medical Center
010120,Monroe County Hospital,Monroeville,AL,"Not In Any System - ,",Short Term Acute Care,010120_Monroe County Hospital
010125,Lakeland Community Hospital,Haleyville,AL,"Not In Any System - ,",Short Term Acute Care,010125_Lakeland Community Hospital
010126,Troy Regional Medical Center,Troy,AL,"Not In Any System - ,",Short Term Acute Care,010126_Troy Regional Medical Center
010128,Jackson Medical Center,Jackson,AL,"Not In Any System - ,",Short Term Acute Care,010128_Jackson Medical Center
010129,North Baldwin Infirmary,Bay Minette,AL,"Infirmary Health System - Mobile, AL",Short Term Acute Care,010129_North Baldwin Infirmary
010130,Saint Vincent's Saint Clair,Pell City,AL,"Ascension Health - Saint Louis, MO",Short Term Acute Care,010130_Saint Vincent's Saint Clair
010131,Crestwood Medical Center,Huntsville,AL,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,010131_Crestwood Medical Center
010138,Hill Hospital Of Sumter County,York,AL,"Not In Any System - ,",Short Term Acute Care,010138_Hill Hospital Of Sumter County
010139,Brookwood Baptist  Medical Center,Birmingham,AL,"Brookwood Baptist Health - Birmingham, AL",Short Term Acute Care,010139_Brookwood Baptist  Medical Center
010144,Springhill Medical Center,Mobile,AL,"Not In Any System - ,",Short Term Acute Care,010144_Springhill Medical Center
010145,Northport Medical Center,Northport,AL,"DCH Health System - Tuscaloosa, AL",Short Term Acute Care,010145_Northport Medical Center
010148,Evergreen Medical Center,Evergreen,AL,"Not In Any System - ,",Short Term Acute Care,010148_Evergreen Medical Center
010149,Baptist Medical Center East,Montgomery,AL,"Baptist Health - Montgomery, AL",Short Term Acute Care,010149_Baptist Medical Center East
01014F,Birmingham VA Medical Center,Birmingham,AL,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,01014F_Birmingham VA Medical Center
010150,Regional Medical Center of Central Alabama,Greenville,AL,"Not In Any System - ,",Short Term Acute Care,010150_Regional Medical Center of Central Alabama
010157,North Alabama Shoals Hospital,Muscle Shoals,AL,"LifePoint Health - Brentwood, TN",Short Term Acute Care,010157_North Alabama Shoals Hospital
010158,Russellville Hospital,Russellville,AL,"Curae Health - Clinton, TN",Short Term Acute Care,010158_Russellville Hospital
010164,Coosa Valley Medical Center,Sylacauga,AL,"Not In Any System - ,",Short Term Acute Care,010164_Coosa Valley Medical Center
010167,UAB Hospital - Highlands,Birmingham,AL,"UAB Medicine - Birmingham, AL",Short Term Acute Care,010167_UAB Hospital - Highlands
010168,Jack Hughston Memorial Hospital,Phenix City,AL,"Not In Any System - ,",Short Term Acute Care,010168_Jack Hughston Memorial Hospital
010169,Atmore Community Hospital,Atmore,AL,"Not In Any System - ,",Short Term Acute Care,010169_Atmore Community Hospital
010173,Saint Vincent's Chilton,Clanton,AL,"Ascension Health - Saint Louis, MO",Short Term Acute Care,010173_Saint Vincent's Chilton
010174,Thomasville Regional Medical Center,Thomasville,AL,"Rush Health Systems - Meridian, MS",Short Term Acute Care,010174_Thomasville Regional Medical Center
01019F,Central Alabama Veterans Health Care System - West Campus,Montgomery,AL,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,01019F_Central Alabama Veterans Health Care System - West Campus
01021F,Tuscaloosa VA Medical Center,Tuscaloosa,AL,"Department of Veterans Affairs - Washington, DC",Psychiatric,01021F_Tuscaloosa VA Medical Center
01022F,Central Alabama Veterans Health Care System - East Campus,Tuskegee,AL,"Department of Veterans Affairs - Washington, DC",Short Term Acute Care,01022F_Central Alabama Veterans Health Care System - East Campus
011300,Washington County Hospital and Nursing Home,Chatom,AL,"Not In Any System - ,",Critical Access,011300_Washington County Hospital and Nursing Home
011302,Red Bay Hospital,Red Bay,AL,"Northwest Alabama Healthcare Authority - Montgomery, AL",Critical Access,011302_Red Bay Hospital
011304,Choctaw General Hospital,Butler,AL,"Rush Health Systems - Meridian, MS",Critical Access,011304_Choctaw General Hospital
011305,Saint Vincent's Blount,Oneonta,AL,"Ascension Health - Saint Louis, MO",Critical Access,011305_Saint Vincent's Blount
011306,Tanner Medical Center East Alabama,Wedowee,AL,"Tanner Health System - Carrollton, GA",Critical Access,011306_Tanner Medical Center East Alabama
012006,Infirmary Long Term Acute Care Hospital,Mobile,AL,"Infirmary Health System - Mobile, AL",Long Term,012006_Infirmary Long Term Acute Care Hospital
012007,Noland Hospital Montgomery,Montgomery,AL,"Noland Health Services - Fairfield, AL",Long Term,012007_Noland Hospital Montgomery
012008,Select Specialty Hospital - Birmingham,Birmingham,AL,"Select Medical Corporation - Mechanicsburg, PA",Long Term,012008_Select Specialty Hospital - Birmingham
012009,Noland Hospital Birmingham,Birmingham,AL,"Noland Health Services - Fairfield, AL",Long Term,012009_Noland Hospital Birmingham
012010,Noland Hospital Dothan,Dothan,AL,"Noland Health Services - Fairfield, AL",Long Term,012010_Noland Hospital Dothan
012011,Noland Hospital Anniston,Anniston,AL,"Noland Health Services - Fairfield, AL",Long Term,012011_Noland Hospital Anniston
012012,Noland Hospital Tuscaloosa,Tuscaloosa,AL,"Noland Health Services - Fairfield, AL",Long Term,012012_Noland Hospital Tuscaloosa
012014,North Alabama Specialty Hospital,Athens,AL,"AMG Integrated Healthcare Management - Lafayette, LA",Long Term,012014_North Alabama Specialty Hospital
013025,Encompass Health Lakeshore Rehabilitation Hospital,Birmingham,AL,"Encompass Health - Birmingham, AL",Rehabilitation,013025_Encompass Health Lakeshore Rehabilitation Hospital
013028,Encompass Health Rehabilitation Hospital of Montgomery,Montgomery,AL,"Encompass Health - Birmingham, AL",Rehabilitation,013028_Encompass Health Rehabilitation Hospital of Montgomery
013029,Encompass Health Rehabilitation Hospital of North Alabama,Huntsville,AL,"Encompass Health - Birmingham, AL",Rehabilitation,013029_Encompass Health Rehabilitation Hospital of North Alabama
013030,Encompass Health Rehabilitation Hospital of Dothan,Dothan,AL,"Encompass Health - Birmingham, AL",Rehabilitation,013030_Encompass Health Rehabilitation Hospital of Dothan
013031,Encompass Health Rehabilitation Hospital of Shelby County,Pelham,AL,"Encompass Health - Birmingham, AL",Rehabilitation,013031_Encompass Health Rehabilitation Hospital of Shelby County
013032,Encompass Health Rehabilitation Hospital of Gadsden,Gadsden,AL,"Encompass Health - Birmingham, AL",Rehabilitation,013032_Encompass Health Rehabilitation Hospital of Gadsden
013033,Regional Rehabilitation Hospital,Phenix City,AL,"Not In Any System - ,",Rehabilitation,013033_Regional Rehabilitation Hospital
013300,Children's Hospital of Alabama,Birmingham,AL,"Not In Any System - ,",Childrens,013300_Children's Hospital of Alabama
013301,USA Children's and Women's Hospital,Mobile,AL,"University of South Alabama Health System - Mobile, AL",Childrens,013301_USA Children's and Women's Hospital
014000,Hill Crest Behavioral Health Services,Birmingham,AL,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,014000_Hill Crest Behavioral Health Services
014006,Mountain View Hospital,Gadsden,AL,"Not In Any System - ,",Psychiatric,014006_Mountain View Hospital
014007,Bryce Hospital,Tuscaloosa,AL,"Alabama Department of Mental Health - Montgomery, AL",Psychiatric,014007_Bryce Hospital
014011,Taylor Hardin Secure Medical Facility,Tuscaloosa,AL,"Alabama Department of Mental Health - Montgomery, AL",Psychiatric,014011_Taylor Hardin Secure Medical Facility
014012,Mary Starke Harper Geriatric Psychiatry Center,Tuscaloosa,AL,"Alabama Department of Mental Health - Montgomery, AL",Psychiatric,014012_Mary Starke Harper Geriatric Psychiatry Center
014013,Laurel Oaks Behavioral Health Center,Dothan,AL,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,014013_Laurel Oaks Behavioral Health Center
014014,Baypointe Children's  Hospital,Mobile,AL,"AltaPointe Health System - Mobile, AL",Psychiatric,014014_Baypointe Children's  Hospital
014015,Beacon Behavioral Hospital,Luverne,AL,"Perimeter Healthcare - Alphretta, GA",Psychiatric,014015_Beacon Behavioral Hospital
014016,The Sanctuary at the Woodlands,Cullman,AL,"Not In Any System - ,",Psychiatric,014016_The Sanctuary at the Woodlands
014017,EastPointe Hospital,Daphne,AL,"AltaPointe Health System - Mobile, AL",Psychiatric,014017_EastPointe Hospital
014018,Unity Psychiatric Care Hunstville,Huntsville,AL,"Tennessee Health Management, Inc. - Parsons, TN",Psychiatric,014018_Unity Psychiatric Care Hunstville
020001,Providence Alaska Medical Center,Anchorage,AK,"Providence - Renton, WA",Short Term Acute Care,020001_Providence Alaska Medical Center
020006,Mat-Su Regional Medical Center,Palmer,AK,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,020006_Mat-Su Regional Medical Center
020008,Bartlett Regional Hospital,Juneau,AK,"Not In Any System - ,",Short Term Acute Care,020008_Bartlett Regional Hospital
020012,Foundation Health Partners Fairbanks Memorial Hospital,Fairbanks,AK,"Foundation Health Partners - Fairbanks, AK",Short Term Acute Care,020012_Foundation Health Partners Fairbanks Memorial Hospital
020017,Alaska Regional Hospital,Anchorage,AK,"HCA Healthcare - Nashville, TN",Short Term Acute Care,020017_Alaska Regional Hospital
020018,Yukon-Kuskokwim Delta Regional Hospital,Bethel,AK,"Not In Any System - ,",Short Term Acute Care,020018_Yukon-Kuskokwim Delta Regional Hospital
020024,Central Peninsula General Hospital,Soldotna,AK,"Not In Any System - ,",Short Term Acute Care,020024_Central Peninsula General Hospital
020026,Alaska Native Medical Center,Anchorage,AK,"Not In Any System - ,",Short Term Acute Care,020026_Alaska Native Medical Center
021301,Providence Valdez Medical Center,Valdez,AK,"Providence - Renton, WA",Critical Access,021301_Providence Valdez Medical Center
021302,Providence Seward Medical and Care Center,Seward,AK,"Providence - Renton, WA",Critical Access,021302_Providence Seward Medical and Care Center
021304,Petersburg Medical Center,Petersburg,AK,"Not In Any System - ,",Critical Access,021304_Petersburg Medical Center
021305,Wrangell Medical Center,Wrangell,AK,"Southeast Alaska Regional Health Consortium - Juneau, AK",Critical Access,021305_Wrangell Medical Center
021306,Providence Kodiak Island Medical Center,Kodiak Island,AK,"Providence - Renton, WA",Critical Access,021306_Providence Kodiak Island Medical Center
021307,Cordova Community Medical Center,Cordova,AK,"Not In Any System - ,",Critical Access,021307_Cordova Community Medical Center
021308,Norton Sound Regional Hospital,Nome,AK,"Not In Any System - ,",Critical Access,021308_Norton Sound Regional Hospital
021309,Kanakanak Hospital,Dillingham,AK,"Indian Health Service - Rockville, MD",Critical Access,021309_Kanakanak Hospital
021310,Maniilaq Health Center,Kotzebue,AK,"Indian Health Service - Rockville, MD",Critical Access,021310_Maniilaq Health Center
021311,PeaceHealth Ketchikan Medical Center,Ketchikan,AK,"PeaceHealth - Bellevue, WA",Critical Access,021311_PeaceHealth Ketchikan Medical Center
021312,Samuel Simmonds Memorial Hospital,Barrow,AK,"Indian Health Service - Rockville, MD",Critical Access,021312_Samuel Simmonds Memorial Hospital
021313,South Peninsula Hospital,Homer,AK,"Not In Any System - ,",Critical Access,021313_South Peninsula Hospital
021314,Mt. Edgecumbe Hospital,Sitka,AK,"Southeast Alaska Regional Health Consortium - Juneau, AK",Critical Access,021314_Mt. Edgecumbe Hospital
022001,Saint Elias Specialty Hospital,Anchorage,AK,"Providence - Renton, WA",Long Term,022001_Saint Elias Specialty Hospital
024001,North Star Hospital,Anchorage,AK,"Universal Health Services, Inc. - King of Prussia, PA",Psychiatric,024001_North Star Hospital
024002,Alaska Psychiatric Institute,Anchorage,AK,"Not In Any System - ,",Psychiatric,024002_Alaska Psychiatric Institute
030001,Valleywise Behavioral Health Center-Maryvale,Phoenix,AZ,"Valleywise Health - Phoenix, AZ",Short Term Acute Care,030001_Valleywise Behavioral Health Center-Maryvale
030002,Banner - University Medical Center Phoenix,Phoenix,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030002_Banner - University Medical Center Phoenix
030006,Tucson Medical Center,Tucson,AZ,"Not In Any System - ,",Short Term Acute Care,030006_Tucson Medical Center
030007,Verde Valley Medical Center,Cottonwood,AZ,"Northern Arizona Healthcare - Flagstaff, AZ",Short Term Acute Care,030007_Verde Valley Medical Center
030010,Saint Mary's Hospital,Tucson,AZ,"Not In Any System - ,",Short Term Acute Care,030010_Saint Mary's Hospital
030011,Saint Joseph's Hospital,Tucson,AZ,"Not In Any System - ,",Short Term Acute Care,030011_Saint Joseph's Hospital
030012,Yavapai Regional Medical Center - West,Prescott,AZ,"Yavapai Regional Medical Center Health System - Prescott Valley, AZ",Short Term Acute Care,030012_Yavapai Regional Medical Center - West
030013,Yuma Regional Medical Center,Yuma,AZ,"Not In Any System - ,",Short Term Acute Care,030013_Yuma Regional Medical Center
030014,HonorHealth John C. Lincoln Medical Center,Phoenix,AZ,"HonorHealth - Scotttsdale, AZ",Short Term Acute Care,030014_HonorHealth John C. Lincoln Medical Center
030016,Banner Casa Grande Medical Center,Casa Grande,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030016_Banner Casa Grande Medical Center
030019,Tempe Saint Luke's Hospital,Tempe,AZ,"Steward Health Care System - Boston, MA",Short Term Acute Care,030019_Tempe Saint Luke's Hospital
030022,Valleywise Health Medical Center,Phoenix,AZ,"Valleywise Health - Phoenix, AZ",Short Term Acute Care,030022_Valleywise Health Medical Center
030023,Flagstaff Medical Center,Flagstaff,AZ,"Northern Arizona Healthcare - Flagstaff, AZ",Short Term Acute Care,030023_Flagstaff Medical Center
030024,Saint Joseph's Hospital and Medical Center,Phoenix,AZ,"CommonSpirit Health - Englewood, CO",Short Term Acute Care,030024_Saint Joseph's Hospital and Medical Center
030030,Abrazo Central Campus,Phoenix,AZ,"TENET Healthcare - Dallas, TX",Short Term Acute Care,030030_Abrazo Central Campus
030036,Chandler Regional Medical Center,Chandler,AZ,"CommonSpirit Health - Englewood, CO",Short Term Acute Care,030036_Chandler Regional Medical Center
030038,HonorHealth Scottsdale Osborn Medical Center,Scottsdale,AZ,"HonorHealth - Scotttsdale, AZ",Short Term Acute Care,030038_HonorHealth Scottsdale Osborn Medical Center
030043,Canyon Vista Medical Center,Sierra Vista,AZ,"LifePoint Health - Brentwood, TN",Short Term Acute Care,030043_Canyon Vista Medical Center
030055,Kingman Regional Medical Center,Kingman,AZ,"Not In Any System - ,",Short Term Acute Care,030055_Kingman Regional Medical Center
030061,Banner Boswell Medical Center,Sun City,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030061_Banner Boswell Medical Center
030062,Summit Healthcare Regional Medical Center,Show Low,AZ,"Not In Any System - ,",Short Term Acute Care,030062_Summit Healthcare Regional Medical Center
030064,Banner -  University Medical Center Tucson,Tucson,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030064_Banner -  University Medical Center Tucson
030065,Banner Desert Medical Center,Mesa,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030065_Banner Desert Medical Center
030068,Mount Graham Regional  Medical Center,Safford,AZ,"Not In Any System - ,",Short Term Acute Care,030068_Mount Graham Regional  Medical Center
030069,Havasu Regional Medical Center,Lake Havasu City,AZ,"LifePoint Health - Brentwood, TN",Short Term Acute Care,030069_Havasu Regional Medical Center
030071,Tsehootsooi Medical Center,Fort Defiance,AZ,"Indian Health Service - Rockville, MD",Short Term Acute Care,030071_Tsehootsooi Medical Center
030073,Tuba City Indian Medical Center,Tuba City,AZ,"Indian Health Service - Rockville, MD",Short Term Acute Care,030073_Tuba City Indian Medical Center
030074,Sells Indian Hospital,Sells,AZ,"Indian Health Service - Rockville, MD",Short Term Acute Care,030074_Sells Indian Hospital
030077,San Carlos Apache Healthcare,Peridot,AZ,"Indian Health Service - Rockville, MD",Short Term Acute Care,030077_San Carlos Apache Healthcare
030078,Phoenix Indian Medical Center,Phoenix,AZ,"Indian Health Service - Rockville, MD",Short Term Acute Care,030078_Phoenix Indian Medical Center
030083,Abrazo Scottsdale Campus,Phoenix,AZ,"TENET Healthcare - Dallas, TX",Short Term Acute Care,030083_Abrazo Scottsdale Campus
030084,Chinle Comprehensive Health Care Facility,Chinle,AZ,"Indian Health Service - Rockville, MD",Short Term Acute Care,030084_Chinle Comprehensive Health Care Facility
030085,Northwest Medical Center,Tucson,AZ,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,030085_Northwest Medical Center
030087,HonorHealth Scottsdale Shea Medical Center,Scottsdale,AZ,"HonorHealth - Scotttsdale, AZ",Short Term Acute Care,030087_HonorHealth Scottsdale Shea Medical Center
030088,Banner Baywood Medical Center,Mesa,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030088_Banner Baywood Medical Center
030089,Banner Thunderbird Medical Center,Glendale,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030089_Banner Thunderbird Medical Center
030092,HonorHealth Deer Valley Medical Center,Phoenix,AZ,"HonorHealth - Scotttsdale, AZ",Short Term Acute Care,030092_HonorHealth Deer Valley Medical Center
030093,Banner Del E. Webb Medical Center,Sun City West,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030093_Banner Del E. Webb Medical Center
030094,Abrazo Arrowhead Hospital,Glendale,AZ,"TENET Healthcare - Dallas, TX",Short Term Acute Care,030094_Abrazo Arrowhead Hospital
030100,Carondelet Heart & Vascular Institute,Tucson,AZ,"Not In Any System - ,",Short Term Acute Care,030100_Carondelet Heart & Vascular Institute
030101,Western Arizona Regional Medical Center,Bullhead City,AZ,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,030101_Western Arizona Regional Medical Center
030103,Mayo Clinic Hospital,Phoenix,AZ,"Mayo Clinic Health System - Rochester, MN",Short Term Acute Care,030103_Mayo Clinic Hospital
030105,Banner Heart Hospital,Mesa,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030105_Banner Heart Hospital
030107,Arizona Spine and Joint Hospital,Mesa,AZ,"Not In Any System - ,",Short Term Acute Care,030107_Arizona Spine and Joint Hospital
030108,The CORE Institute Specialty Hospital,Phoenix,AZ,"Not In Any System - ,",Short Term Acute Care,030108_The CORE Institute Specialty Hospital
030110,Abrazo West Campus,Goodyear,AZ,"TENET Healthcare - Dallas, TX",Short Term Acute Care,030110_Abrazo West Campus
030111,Banner - University Medical Center South Campus,Tucson,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030111_Banner - University Medical Center South Campus
030112,Arizona Specialty Hospital,Chandler,AZ,"Not In Any System - ,",Short Term Acute Care,030112_Arizona Specialty Hospital
030113,Whiteriver Indian Hospital,Whiteriver,AZ,"Indian Health Service - Rockville, MD",Short Term Acute Care,030113_Whiteriver Indian Hospital
030114,Oro Valley Hospital,Tucson,AZ,"Community Health Systems, Inc. (CHS) - Franklin, TN",Short Term Acute Care,030114_Oro Valley Hospital
030115,Banner Estrella Medical Center,Phoenix,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030115_Banner Estrella Medical Center
030117,Valley View Medical Center,Fort Mohave,AZ,"LifePoint Health - Brentwood, TN",Short Term Acute Care,030117_Valley View Medical Center
030118,Yavapai Regional Medical Center - East,Prescott Valley,AZ,"Yavapai Regional Medical Center Health System - Prescott Valley, AZ",Short Term Acute Care,030118_Yavapai Regional Medical Center - East
030119,Mercy Gilbert Medical Center,Gilbert,AZ,"CommonSpirit Health - Englewood, CO",Short Term Acute Care,030119_Mercy Gilbert Medical Center
030121,Mountain Vista Medical Center,Mesa,AZ,"Steward Health Care System - Boston, MA",Short Term Acute Care,030121_Mountain Vista Medical Center
030122,Banner Gateway Medical Center,Gilbert,AZ,"Banner Health - Phoenix, AZ",Short Term Acute Care,030122_Banner Gateway Medical Center
