CMS Certification Number,Facility Name,System Affiliation,State,ZIP,Latitude,Longitude,Type of Control,FFY2020 IPPS Discharges to Home,Total Discharges,Total Acute Beds,Total Fixed Assets,HIT Designated Assets,Compliant,IT Prop Assets,Agg Control,Num Hospitals in SA,Num Compliant in SA,coor,Num Hospitals within 5 Miles,Num Compliant Hospitals within 5 Miles,Pct Compliant within Radius,Daily Penalty,Annual Penalty
10044,North Mississippi Medical Center - Hamilton,"North Mississippi Health Services - Tupelo, MS",AL,35570,34.126499,-87.989799,"Voluntary Nonprofit, Other",72,388,36,2879107,0,,0,Nonprofit,7,0,"(34.126499, -87.989799)",0,0,,360,131400
10045,Fayette Medical Center,"DCH Health System - Tuscaloosa, AL",AL,35555,33.708,-87.823502,"Governmental, Other",93,582,45,11930899,0,,0,Governmental,3,0,"(33.708, -87.823502)",0,0,,450,164250
10046,Riverview Regional Medical Center,"Prime Healthcare Services, Inc. - Ontario, CA",AL,35901,34.0042,-86.004097,"Proprietary, Corporation",1075,5450,256,19793369,0,,0,Proprietary,45,0,"(34.0042, -86.004097)",3,0,0,2560,934400
10049,Medical Center Enterprise,"Community Health Systems, Inc. (CHS) - Franklin, TN",AL,36330,31.3186,-85.855598,"Proprietary, Corporation",356,3570,99,22960759,0,,0,Proprietary,78,0,"(31.3186, -85.855598)",0,0,,990,361350
10051,Greene County Health System,Not in a System,AL,35462,32.843201,-87.889503,"Governmental, County",57,284,20,0,0,,,Governmental,0,1,"(32.843201, -87.889503)",0,0,,300,109500
10052,Lake Martin Community Hospital,"Ivy Creek Healthcare - Wetumpka, AL",AL,36853,32.818699,-85.741798,"Proprietary, Partnership",55,461,46,864641,0,,0,Proprietary,2,0,"(32.818699, -85.741798)",0,0,,460,167900
10054,Decatur Morgan Hospital-Parkway Campus,"Huntsville Hospital Health System - Huntsville, AL",AL,35603,34.576199,-87.017197,"Governmental, City-County",0,1560,120,16699760,0,,0,Governmental,4,0,"(34.576199, -87.017197)",1,0,0,1200,438000
10055,Flowers Hospital,"Community Health Systems, Inc. (CHS) - Franklin, TN",AL,36305,31.2356,-85.456398,"Proprietary, Corporation",1795,11546,235,67944858,0,,0,Proprietary,78,0,"(31.2356, -85.456398)",1,0,0,2350,857750
10056,Ascension Saint Vincent's Birmingham,"Ascension Health - Saint Louis, MO",AL,35205,33.507999,-86.787804,"Voluntary Nonprofit, Church",1912,19579,399,151440170,0,,0,Nonprofit,92,0,"(33.507999, -86.787804)",10,0,0,3990,1456350
10058,Bibb Medical Center,Not in a System,AL,35042,32.951199,-87.146896,"Governmental, County",36,317,25,12179044,0,,0,Governmental,0,1,"(32.951199, -87.146896)",0,0,,300,109500
10059,Lawrence Medical Center,Not in a System,AL,35650,34.483299,-87.286003,"Proprietary, Corporation",56,467,43,2696045,0,,0,Proprietary,0,1,"(34.483299, -87.286003)",0,0,,430,156950
10061,Highlands Medical Center,"Huntsville Hospital Health System - Huntsville, AL",AL,35768,34.6614,-86.046997,"Governmental, Other",231,2138,45,12605662,0,,0,Governmental,4,0,"(34.6614, -86.046997)",0,0,,450,164250
10062,Wiregrass Medical Center,Not in a System,AL,36340,31.048,-85.891296,"Governmental, County",273,747,33,3727269,0,,0,Governmental,0,1,"(31.048, -85.891296)",0,0,,330,120450
10065,Russell Medical Center,Not in a System,AL,35010,32.931099,-85.968498,"Proprietary, Other",252,1875,43,33580613,0,,0,Proprietary,0,1,"(32.931099, -85.968498)",0,0,,430,156950
10069,Medical Center Barbour,Not in a System,AL,36027,31.888,-85.156403,"Governmental, County",185,884,30,1415807,0,,0,Governmental,0,1,"(31.888, -85.156403)",0,0,,300,109500
10073,Clay County Hospital,Not in a System,AL,36251,33.276402,-85.823898,"Governmental, County",185,984,46,4502940,0,,0,Governmental,0,1,"(33.276402, -85.823898)",0,0,,460,167900
10078,RMC Anniston,"Regional Medical Center Health System - Anniston, AL",AL,36202,33.657101,-85.823196,Governmental Hospital District,1176,11627,272,39756277,0,,0,Governmental,2,0,"(33.657101, -85.823196)",2,0,0,2720,992800
10079,Athens-Limestone Hospital,Not in a System,AL,35611,34.803799,-86.979301,"Governmental, City-County",515,3881,66,30541949,0,,0,Governmental,0,1,"(34.803799, -86.979301)",1,0,0,660,240900
10083,South Baldwin Regional Medical Center,"Community Health Systems, Inc. (CHS) - Franklin, TN",AL,36535,30.425699,-87.683197,"Proprietary, Corporation",1014,6691,112,31049968,0,,0,Proprietary,78,0,"(30.425699, -87.683197)",0,0,,1120,408800
10085,Decatur Morgan Hospital,"Huntsville Hospital Health System - Huntsville, AL",AL,35601,34.591202,-86.971802,"Governmental, City-County",1498,8318,305,69721454,0,,0,Governmental,4,0,"(34.591202, -86.971802)",1,0,0,3050,1113250
10086,Northwest Regional Health,Not in a System,AL,35594,33.9296,-87.825104,"Proprietary, Corporation",166,943,28,5447636,0,,0,Proprietary,0,1,"(33.9296, -87.825104)",0,0,,300,109500
10087,USA Health University Hospital,"University of South Alabama Health System - Mobile, AL",AL,36617,30.7082,-88.099098,"Governmental, State",975,9461,191,115898526,0,,0,Governmental,2,0,"(30.7082, -88.099098)",4,0,0,1910,697150
10089,Walker Baptist Medical Center,"Brookwood Baptist Health - Birmingham, AL",AL,35501,33.841202,-87.2369,"Voluntary Nonprofit, Church",656,5870,207,31343863,0,,0,Nonprofit,5,0,"(33.841202, -87.2369)",0,0,,2070,755550
10090,Providence Hospital,"Ascension Health - Saint Louis, MO",AL,36685,30.681499,-88.197899,"Voluntary Nonprofit, Other",1198,13050,349,64295251,0,,0,Nonprofit,92,0,"(30.681499, -88.197899)",2,0,0,3490,1273850
10091,Grove Hill Memorial Hospital,Not in a System,AL,36451,31.694599,-87.7771,"Governmental, City",61,557,21,4621371,0,,0,Governmental,0,1,"(31.694599, -87.7771)",0,0,,300,109500
10092,DCH Regional Medical Center,"DCH Health System - Tuscaloosa, AL",AL,35401,33.2062,-87.5261,"Governmental, City-County",3281,29915,510,289624960,0,,0,Governmental,3,0,"(33.2062, -87.5261)",6,0,0,5100,1861500
10095,Hale County Hospital,Not in a System,AL,36744,32.695499,-87.587898,"Governmental, Other",51,348,39,2253179,0,,0,Governmental,0,1,"(32.695499, -87.587898)",0,0,,390,142350
10097,Elmore Community Hospital,"Ivy Creek Healthcare - Wetumpka, AL",AL,36092,32.551498,-86.1875,"Proprietary, Partnership",136,785,33,1568647,0,,0,Proprietary,2,0,"(32.551498, -86.1875)",0,0,,330,120450
10099,D.W. McMillan Memorial Hospital,Not in a System,AL,36426,31.1271,-87.072304,"Governmental, County",274,1394,46,15074550,0,,0,Governmental,0,1,"(31.1271, -87.072304)",0,0,,460,167900
10100,Thomas Hospital,"Infirmary Health System - Mobile, AL",AL,36532,30.52,-87.889297,"Governmental, County",1272,10337,129,81607046,0,,0,Governmental,4,0,"(30.52, -87.889297)",0,0,,1290,470850
10101,Citizens Baptist Medical Center,"Brookwood Baptist Health - Birmingham, AL",AL,35160,33.4398,-86.090202,"Voluntary Nonprofit, Church",230,1931,103,14308881,0,,0,Nonprofit,5,0,"(33.4398, -86.090202)",0,0,,1030,375950
10102,John Paul Jones Hospital,Not in a System,AL,36726,31.9979,-87.2995,"Governmental, City-County",17,117,21,1006613,0,,0,Governmental,0,1,"(31.9979, -87.2995)",0,0,,300,109500
10103,Princeton Baptist Medical Center,"Brookwood Baptist Health - Birmingham, AL",AL,35211,33.497601,-86.846199,"Voluntary Nonprofit, Church",1385,11610,273,79605129,0,,0,Nonprofit,5,0,"(33.497601, -86.846199)",9,0,0,2730,996450
10104,Grandview Medical Center,"Community Health Systems, Inc. (CHS) - Franklin, TN",AL,35243,33.434299,-86.720497,"Proprietary, Corporation",3116,22655,373,356104519,0,,0,Proprietary,78,0,"(33.434299, -86.720497)",3,0,0,3730,1361450
10108,Prattville Baptist Hospital,"Baptist Health - Montgomery, AL",AL,36067,32.464001,-86.450897,Governmental Hospital District,365,2678,55,13986849,0,,0,Governmental,3,0,"(32.464001, -86.450897)",0,0,,550,200750
10110,Bullock County Hospital,Not in a System,AL,36089,32.146198,-85.716904,"Proprietary, Corporation",183,472,25,427768,0,,0,Proprietary,0,1,"(32.146198, -85.716904)",0,0,,300,109500
10112,Bryan W. Whitfield Memorial Hospital,Not in a System,AL,36732,32.5037,-87.836502,"Governmental, City-County",240,1017,41,11292589,0,,0,Governmental,0,1,"(32.5037, -87.836502)",0,0,,410,149650
10113,Mobile Infirmary Medical Center,"Infirmary Health System - Mobile, AL",AL,36607,30.6966,-88.0793,"Voluntary Nonprofit, Other",2609,24926,596,81287364,0,,0,Nonprofit,4,0,"(30.6966, -88.0793)",3,0,0,5500,2007500
10114,Medical West,Not in a System,AL,35022,33.372501,-86.992203,"Voluntary Nonprofit, Other",658,5844,204,28799459,0,,0,Nonprofit,0,1,"(33.372501, -86.992203)",0,0,,2040,744600
10118,Vaughan Regional Medical Center,"LifePoint Health - Brentwood, TN",AL,36701,32.430401,-87.055496,"Proprietary, Corporation",580,4984,109,12027381,0,,0,Proprietary,53,1,"(32.430401, -87.055496)",0,0,,1090,397850
10120,Monroe County Hospital,Not in a System,AL,36460,31.497601,-87.319397,"Governmental, County",78,920,46,5392377,0,,0,Governmental,0,1,"(31.497601, -87.319397)",0,0,,460,167900
10125,Lakeland Community Hospital,Not in a System,AL,35565,34.2407,-87.591499,"Proprietary, Corporation",203,882,49,2939490,0,,0,Proprietary,0,1,"(34.2407, -87.591499)",0,0,,490,178850
10126,Troy Regional Medical Center,Not in a System,AL,36081,31.780199,-85.945297,"Governmental, City-County",175,1058,41,13062308,0,,0,Governmental,0,1,"(31.780199, -85.945297)",0,0,,410,149650
10128,Jackson Medical Center,Not in a System,AL,36545,31.5308,-87.8946,"Proprietary, Corporation",163,724,35,633111,0,,0,Proprietary,0,1,"(31.5308, -87.8946)",0,0,,350,127750
10129,North Baldwin Infirmary,"Infirmary Health System - Mobile, AL",AL,36507,30.903999,-87.783997,"Voluntary Nonprofit, Other",189,1846,25,15367385,0,,0,Nonprofit,4,0,"(30.903999, -87.783997)",0,0,,300,109500
10130,Saint Vincent's Saint Clair,"Ascension Health - Saint Louis, MO",AL,35125,33.605099,-86.3013,"Voluntary Nonprofit, Church",170,1666,40,3233441,0,,0,Nonprofit,92,0,"(33.605099, -86.3013)",0,0,,400,146000
10131,Crestwood Medical Center,"Community Health Systems, Inc. (CHS) - Franklin, TN",AL,35801,34.692299,-86.573097,"Proprietary, Corporation",1861,10519,190,99926360,0,,0,Proprietary,78,0,"(34.692299, -86.573097)",2,0,0,1900,693500
10138,Hill Hospital Of Sumter County,Not in a System,AL,36925,32.491798,-88.295998,"Governmental, City-County",45,303,33,751172,0,,0,Governmental,0,1,"(32.491798, -88.295998)",0,0,,330,120450
10139,Brookwood Baptist  Medical Center,"Brookwood Baptist Health - Birmingham, AL",AL,35209,33.463501,-86.775497,"Proprietary, Corporation",1607,12166,425,209983024,0,,0,Proprietary,5,0,"(33.463501, -86.775497)",9,0,0,4250,1551250
10144,Springhill Medical Center,Not in a System,AL,36608,30.6856,-88.132202,"Proprietary, Corporation",1316,10411,189,63597449,0,,0,Proprietary,0,1,"(30.6856, -88.132202)",5,0,0,1890,689850
10145,Northport Medical Center,"DCH Health System - Tuscaloosa, AL",AL,35476,33.233799,-87.569504,"Governmental, City-County",0,5073,111,46625926,0,,0,Governmental,3,0,"(33.233799, -87.569504)",5,0,0,1110,405150
10148,Evergreen Medical Center,Not in a System,AL,36401,31.4312,-86.943001,"Proprietary, Corporation",351,1316,44,1944682,0,,0,Proprietary,0,1,"(31.4312, -86.943001)",0,0,,440,160600
10149,Baptist Medical Center East,"Baptist Health - Montgomery, AL",AL,36117,32.375999,-86.1717,"Voluntary Nonprofit, Other",880,11045,184,49339069,0,,0,Nonprofit,3,0,"(32.375999, -86.1717)",1,0,0,1840,671600
01014F,Birmingham VA Medical Center,"Department of Veterans Affairs - Washington, DC",AL,35233,33.504501,-86.800797,"Governmental, Federal",0,0,0,0,0,,,Governmental,140,0,"(33.504501, -86.800797)",9,0,0,300,109500
10150,Regional Medical Center of Central Alabama,Not in a System,AL,36037,31.8283,-86.645302,"Proprietary, Corporation",102,681,44,2527109,0,,0,Proprietary,0,1,"(31.8283, -86.645302)",0,0,,440,160600
10157,North Alabama Shoals Hospital,"LifePoint Health - Brentwood, TN",AL,35661,34.744999,-87.676498,"Proprietary, Corporation",272,1383,122,30969776,0,,0,Proprietary,53,1,"(34.744999, -87.676498)",2,0,0,1220,445300
10158,Russellville Hospital,"Curae Health - Clinton, TN",AL,35653,34.511101,-87.717598,"Proprietary, Corporation",206,1304,49,2991223,0,,0,Proprietary,1,0,"(34.511101, -87.717598)",0,0,,490,178850
10164,Coosa Valley Medical Center,Not in a System,AL,35150,33.1646,-86.253799,"Governmental, City",344,2893,122,24878734,0,,0,Governmental,0,1,"(33.1646, -86.253799)",0,0,,1220,445300
10167,UAB Hospital - Highlands,"UAB Medicine - Birmingham, AL",AL,35205,33.495499,-86.8069,"Governmental, State",0,3641,73,35977522,0,,0,Governmental,3,0,"(33.495499, -86.8069)",9,0,0,730,266450
10168,Jack Hughston Memorial Hospital,Not in a System,AL,36867,32.507702,-85.007896,"Proprietary, Partnership",764,2889,47,18334556,0,,0,Proprietary,0,1,"(32.507702, -85.007896)",1,0,0,470,171550
10169,Atmore Community Hospital,Not in a System,AL,36502,31.0168,-87.479698,"Voluntary Nonprofit, Other",156,871,49,2998774,0,,0,Nonprofit,0,1,"(31.0168, -87.479698)",0,0,,490,178850
10173,Ascension Saint Vincent's Chilton,"Ascension Health - Saint Louis, MO",AL,35045,32.8801,-86.624397,"Voluntary Nonprofit, Church",56,560,26,32201153,0,,0,Nonprofit,92,0,"(32.8801, -86.624397)",0,0,,300,109500
10174,Thomasville Regional Medical Center,"Rush Health Systems - Meridian, MS",AL,36784,31.8762,-87.745102,"Voluntary Nonprofit, Other",0,464,29,29910743,0,,0,Nonprofit,8,0,"(31.8762, -87.745102)",0,0,,300,109500
10175,East Alabama Medical Center - Lanier,Not in a System,AL,36854,32.823799,-85.170097,"Voluntary Nonprofit, Other",0,0,0,0,0,,,Nonprofit,0,1,"(32.823799, -85.170097)",0,0,,300,109500
01019F,Central Alabama Veterans Health Care System - West Campus,"Department of Veterans Affairs - Washington, DC",AL,36109,32.377201,-86.246399,"Governmental, Federal",0,0,0,0,0,,,Governmental,140,0,"(32.377201, -86.246399)",5,0,0,300,109500
01021F,Tuscaloosa VA Medical Center,"Department of Veterans Affairs - Washington, DC",AL,35404,33.1931,-87.488602,"Governmental, Federal",0,0,0,0,0,,,Governmental,140,0,"(33.1931, -87.488602)",5,0,0,300,109500
01022F,Central Alabama Veterans Health Care System - East Campus,"Department of Veterans Affairs - Washington, DC",AL,36083,32.444801,-85.712097,"Governmental, Federal",0,0,0,0,0,,,Governmental,140,0,"(32.444801, -85.712097)",0,0,,300,109500
11300,Washington County Hospital and Nursing Home,Not in a System,AL,36518,31.459999,-88.234398,"Governmental, County",47,197,15,3361777,0,,0,Governmental,0,1,"(31.459999, -88.234398)",0,0,,300,109500
11302,Red Bay Hospital,"Northwest Alabama Healthcare Authority - Montgomery, AL",AL,35582,34.4575,-88.147903,"Governmental, Other",16,286,25,433485,0,,0,Governmental,2,0,"(34.4575, -88.147903)",0,0,,300,109500
11304,Choctaw General Hospital,"Rush Health Systems - Meridian, MS",AL,36904,32.093102,-88.208298,"Voluntary Nonprofit, Other",25,50,25,16324785,0,,0,Nonprofit,8,0,"(32.093102, -88.208298)",0,0,,300,109500
11305,Ascension St. Vincent's Blount,"Ascension Health - Saint Louis, MO",AL,35121,33.932899,-86.494003,"Voluntary Nonprofit, Church",45,575,25,5038650,0,,0,Nonprofit,92,0,"(33.932899, -86.494003)",0,0,,300,109500
11306,Tanner Medical Center East Alabama,"Tanner Health System - Carrollton, GA",AL,36278,33.295101,-85.478798,"Voluntary Nonprofit, Other",32,218,15,25026752,0,,0,Nonprofit,4,0,"(33.295101, -85.478798)",0,0,,300,109500
12006,Infirmary Long Term Acute Care Hospital,"Infirmary Health System - Mobile, AL",AL,36607,30.6966,-88.0793,"Governmental, State",0,321,22,567670,0,,0,Governmental,4,0,"(30.6966, -88.0793)",3,0,0,300,109500
12007,Noland Hospital Montgomery,"Noland Health Services - Fairfield, AL",AL,36106,32.367001,-86.285301,"Voluntary Nonprofit, Other",0,208,65,697825,0,,0,Nonprofit,5,0,"(32.367001, -86.285301)",4,0,0,650,237250
12008,Select Specialty Hospital - Birmingham,"Select Medical Corporation - Mechanicsburg, PA",AL,35209,33.463501,-86.775497,"Proprietary, Corporation",0,352,38,993707,0,,0,Proprietary,93,0,"(33.463501, -86.775497)",9,0,0,380,138700
12009,Noland Hospital Birmingham,"Noland Health Services - Fairfield, AL",AL,35235,33.595299,-86.665199,"Voluntary Nonprofit, Other",12,283,45,740830,0,,0,Nonprofit,5,0,"(33.595299, -86.665199)",1,0,0,450,164250
12010,Noland Hospital Dothan,"Noland Health Services - Fairfield, AL",AL,36301,31.214001,-85.361702,"Voluntary Nonprofit, Other",0,301,38,559470,0,,0,Nonprofit,5,0,"(31.214001, -85.361702)",3,0,0,380,138700
12011,Noland Hospital Anniston,"Noland Health Services - Fairfield, AL",AL,36202,33.657101,-85.822899,"Voluntary Nonprofit, Other",13,295,38,709627,0,,0,Nonprofit,5,0,"(33.657101, -85.822899)",2,0,0,380,138700
12012,Noland Hospital Tuscaloosa,"Noland Health Services - Fairfield, AL",AL,35401,33.2062,-87.525497,"Voluntary Nonprofit, Other",11,251,32,712456,0,,0,Nonprofit,5,0,"(33.2062, -87.525497)",6,0,0,320,116800
12014,North Alabama Specialty Hospital,"AMG Integrated Healthcare Management - Lafayette, LA",AL,35611,34.803699,-86.979202,"Proprietary, Corporation",0,187,31,669518,0,,0,Proprietary,11,0,"(34.803699, -86.979202)",1,0,0,310,113150
13025,Encompass Health Lakeshore Rehabilitation Hospital,"Encompass Health - Birmingham, AL",AL,35209,33.468899,-86.787399,"Proprietary, Corporation",123,2656,100,49385261,0,,0,Proprietary,98,0,"(33.468899, -86.787399)",10,0,0,1000,365000
13028,Encompass Health Rehabilitation Hospital of Montgomery,"Encompass Health - Birmingham, AL",AL,36116,32.318901,-86.282097,"Proprietary, Corporation",97,1794,70,15399821,0,,0,Proprietary,98,0,"(32.318901, -86.282097)",4,0,0,700,255500
13029,Encompass Health Rehabilitation Hospital of North Alabama,"Encompass Health - Birmingham, AL",AL,35801,34.719799,-86.580704,"Proprietary, Corporation",218,1802,70,1536928,0,,0,Proprietary,98,0,"(34.719799, -86.580704)",2,0,0,700,255500
13030,Encompass Health Rehabilitation Hospital of Dothan,"Encompass Health - Birmingham, AL",AL,36301,31.218399,-85.364799,"Proprietary, Corporation",88,1624,51,4122874,0,,0,Proprietary,98,0,"(31.218399, -85.364799)",3,0,0,510,186150
13031,Encompass Health Rehabilitation Hospital of Shelby County,"Encompass Health - Birmingham, AL",AL,35124,33.2845,-86.797096,"Proprietary, Corporation",49,920,34,1938473,0,,0,Proprietary,98,0,"(33.2845, -86.797096)",1,0,0,340,124100
13032,Encompass Health Rehabilitation Hospital of Gadsden,"Encompass Health - Birmingham, AL",AL,35903,34.007801,-85.968597,"Proprietary, Corporation",84,1217,44,4527668,0,,0,Proprietary,98,0,"(34.007801, -85.968597)",2,0,0,440,160600
13033,Regional Rehabilitation Hospital,Not in a System,AL,36867,32.499001,-85.045303,"Proprietary, Partnership",57,1672,58,10202507,0,,0,Proprietary,0,1,"(32.499001, -85.045303)",1,0,0,580,211700
13300,Children's Hospital of Alabama,Not in a System,AL,35233,33.5037,-86.804298,"Voluntary Nonprofit, Other",63,12334,351,470187491,0,,0,Nonprofit,0,1,"(33.5037, -86.804298)",9,0,0,3510,1281150
13301,USA Children's and Women's Hospital,"University of South Alabama Health System - Mobile, AL",AL,36604,30.6961,-88.077003,"Governmental, State",57,8313,249,126620500,0,,0,Governmental,2,0,"(30.6961, -88.077003)",4,0,0,2490,908850
14000,Hill Crest Behavioral Health Services,"Universal Health Services, Inc. - King of Prussia, PA",AL,35212,33.548401,-86.730904,"Proprietary, Corporation",0,739,78,4814954,0,,0,Proprietary,153,0,"(33.548401, -86.730904)",3,0,0,780,284700
14006,Mountain View Hospital,Not in a System,AL,35904,34.072701,-86.019997,"Proprietary, Corporation",29,504,68,3539970,0,,0,Proprietary,0,1,"(34.072701, -86.019997)",1,0,0,680,248200
14007,Bryce Hospital,"Alabama Department of Mental Health - Montgomery, AL",AL,35404,33.209,-87.516098,"Governmental, State",0,79,98,0,0,,,Governmental,3,0,"(33.209, -87.516098)",6,0,0,980,357700
14011,Taylor Hardin Secure Medical Facility,"Alabama Department of Mental Health - Montgomery, AL",AL,35404,33.220001,-87.5205,"Governmental, State",0,0,0,0,0,,,Governmental,3,0,"(33.220001, -87.5205)",6,0,0,300,109500
14012,Mary Starke Harper Geriatric Psychiatry Center,"Alabama Department of Mental Health - Montgomery, AL",AL,35401,33.219101,-87.534798,"Governmental, State",17,104,126,0,0,,,Governmental,3,0,"(33.219101, -87.534798)",6,0,0,1260,459900
14013,Laurel Oaks Behavioral Health Center,"Universal Health Services, Inc. - King of Prussia, PA",AL,36301,31.2048,-85.384102,"Proprietary, Corporation",0,0,0,0,0,,,Proprietary,153,0,"(31.2048, -85.384102)",4,0,0,300,109500
14014,Baypointe Children's  Hospital,"AltaPointe Health System - Mobile, AL",AL,36693,30.6238,-88.177399,"Governmental, County",0,0,0,0,0,,,Governmental,2,0,"(30.6238, -88.177399)",1,0,0,300,109500
14015,Beacon Behavioral Hospital,"Perimeter Healthcare - Alphretta, GA",AL,36049,31.6943,-86.264397,"Proprietary, Corporation",0,0,0,0,0,,,Proprietary,7,0,"(31.6943, -86.264397)",1,0,0,300,109500
14016,The Sanctuary at the Woodlands,Not in a System,AL,35055,34.1502,-86.844101,"Proprietary, Corporation",61,383,40,-128595,0,,0,Proprietary,0,1,"(34.1502, -86.844101)",1,0,0,400,146000
14017,EastPointe Hospital,"AltaPointe Health System - Mobile, AL",AL,36526,30.6355,-87.895699,"Governmental, County",111,646,66,55717496,0,,0,Governmental,2,0,"(30.6355, -87.895699)",0,0,,660,240900
